,id,key,title,excerpt,matched_title,description,thumbnail
20,5378848,Formal_ontology,Formal ontology,"In philosophy, the term formal ontology is used to refer to an ontology defined by axioms in a formal language with the goal to provide an unbiased (domain-",,,
21,39447430,Human_Phenotype_Ontology,Human Phenotype Ontology,"Phenotype Ontology (HPO) is a formal ontology of human phenotypes. Developed in collaboration with members of the Open Biomedical Ontologies Foundry, HPO",,,
22,14952655,Fundamental_ontology,Fundamental ontology,"Ontology."" The history of ontology in Western philosophy is, in Heidegger's terms, ontical, whereas ontology ought to designate fundamental ontology.",,,
23,70654958,Political_ontology,Political ontology,"Political ontology is an approach within anthropology to understand the process of how practices, entities (human and non-human), and concepts come into",,,
24,37304,Martin_Heidegger,Martin Heidegger,"as ""being there"". Heidegger believes that Dasein already has a ""pre-ontological"" and non-abstract understanding that shapes how it lives. This mode of",,German philosopher (1889–1976),"{'mimetype': 'image/jpeg', 'size': None, 'width': 142, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Heidegger_2_%281960%29.jpg/142px-Heidegger_2_%281960%29.jpg'}"
25,18025074,Basic_Formal_Ontology,Basic Formal Ontology,Basic Formal Ontology (BFO) is a top-level ontology developed by Barry Smith and his associates for the purposes of promoting interoperability among domain,,,
26,20634994,YAGO_(database),YAGO (database),YAGO (Yet Another Great Ontology) is an open source knowledge base developed at the Max Planck Institute for Computer Science in Saarbrücken. It is automatically,,Open-source information repository,"{'mimetype': 'image/svg+xml', 'size': 7542, 'width': 200, 'height': 103, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/b/be/YAGO.svg/200px-YAGO.svg.png'}"
27,15967809,Ontology_modularization,Ontology modularization,The notion of ontology modularization refers to a methodological principle in ontology engineering. The idea is that an ontology is built in a modular,,,
28,11053817,Ontology_learning,Ontology learning,"Ontology learning (ontology extraction, ontology generation, or ontology acquisition) is the automatic or semi-automatic creation of ontologies, including",,Automatic creation of ontologies,
29,10289427,Foundational_Model_of_Anatomy,Foundational Model of Anatomy,The Foundational Model of Anatomy Ontology (FMA) is a reference ontology for the domain of Human anatomy. It is a symbolic representation of the canonical,,Ontology for the domain of human anatomy,
30,39830911,Function-Behaviour-Structure_ontology,Function-Behaviour-Structure ontology,"The Function-Behaviour-Structure ontology – or short, the FBS ontology – is an ontology of design objects, i.e. things that have been or can be designed",,,
31,159753,Core_ontology,Core ontology,"In philosophy, a core ontology is a basic and minimal ontology consisting only of the minimal concepts required to understand the other concepts. It must",,,
32,13644599,Ontology_chart,Ontology chart,An ontology chart is a type of chart used in semiotics and software engineering to illustrate an ontology. The nodes of an ontology chart represent universal,,,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 92, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/b/b1/Ocw.jpg/200px-Ocw.jpg'}"
33,11476249,Ontology-based_data_integration,Ontology-based data integration,Ontology-based data integration involves the use of one or more ontologies to effectively combine data or information from multiple heterogeneous sources,,,
34,27697702,Bibliographic_Ontology,Bibliographic Ontology,The Bibliographic Ontology (BIBO) is an ontology for the semantic Web to describe bibliographic things like books or magazines. It is written in RDF and,,,
35,6978,Concept,Concept,Philosophers construe this question as one about the ontology of concepts—what kind of things they are. The ontology of concepts determines the answer to other,,Mental representation or an abstract object,"{'mimetype': 'image/svg+xml', 'size': 10159, 'width': 148, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Generalization_process_using_trees.svg/148px-Generalization_process_using_trees.svg.png'}"
36,47862627,Grounding_(metaphysics),Grounding (metaphysics),"on its ground. According to the neo-Aristotelian approach to ontology, the goal of ontology is to determine which entities are fundamental and how the non-fundamental",,,
37,4696039,Ontology_alignment,Ontology alignment,"Ontology alignment, or ontology matching, is the process of determining correspondences between concepts in ontologies. A set of correspondences is also",,Process of determining correspondences between concepts in ontologies,
38,20250365,Geopolitical_ontology,Geopolitical ontology,"The FAO geopolitical ontology is an ontology developed by the Food and Agriculture Organization of the United Nations (FAO) to describe, manage and exchange",,,
39,12424857,Plant_ontology,Plant ontology,Plant ontology (PO) is a collection of ontologies developed by the Plant Ontology Consortium. These ontologies describe anatomical structures and growth,,,
40,4687483,General_formal_ontology,General formal ontology,"The general formal ontology (GFO) is an upper ontology integrating processes and objects. GFO has been developed by Heinrich Herre, Barbara Heller and",,,
41,6676829,Ontological_security,Ontological security,Ontological security is a stable mental state derived from a sense of continuity in regard to the events in one's life. Anthony Giddens (1991) refers,,,
42,18895,Metaphysics,Metaphysics,"to take belongs instead to another branch of philosophy, epistemology. Ontology is the branch of philosophy that studies concepts such as existence, being",,Branch of philosophy dealing with the nature of reality,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 137, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Philbar_3.png/200px-Philbar_3.png'}"
43,62794442,Computer_Science_Ontology,Computer Science Ontology,The Computer Science Ontology (CSO) is an automatically generated taxonomy of research topics in the field of Computer Science. It was produced by the,,Automatically generated taxonomy of research topics in the field of Computer Science,
44,53828,Ontological_commitment,Ontological commitment,"An ontological commitment of a language is one or more objects postulated to exist by that language. The 'existence' referred to need not be 'real', but",,,
45,31002435,Knowledge_extraction,Knowledge extraction,either the reuse of existing formal knowledge (reusing identifiers or ontologies) or the generation of a schema based on the source data. The RDB2RDF W3C,,Creation of knowledge from structured and unstructured sources,
46,2885828,Weak_ontology,Weak ontology,"In computer science, a weak ontology is an ontology that is not sufficiently rigorous to allow software to infer new facts without intervention by humans",,,
47,22033131,Lightweight_ontology,Lightweight ontology,A lightweight ontology is an ontology or knowledge organization system in which concepts are connected by rather general associations than strict formal,,,
48,239497,Knowledge_base,Knowledge base,"representation for a knowledge base is an object model (often called an ontology in artificial intelligence literature) with classes, subclasses and instances",,Information repository with multiple applications,
49,25754129,Theory_of_forms,Theory of forms,"The theory of Forms or theory of Ideas is a philosophical theory, fuzzy concept, or world-view, attributed to Plato, that the physical world is not as",,Philosophical theory attributed to Plato,
50,35458904,Data_science,Data science,"structured and unstructured data, and apply knowledge from data across a broad range of application domains. Data science is related to data mining, machine learning",,Interdisciplinary field of study focused on deriving knowledge and insights from data,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 150, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/4/45/PIA23792-1600x1200%281%29.jpg/200px-PIA23792-1600x1200%281%29.jpg'}"
51,93817,Data_type,Data type,"computer science and computer programming, a data type (or simply type) is a set of possible values and a set of allowed operations on it. A data type tells",,Attribute of data,"{'mimetype': 'image/png', 'size': None, 'width': 141, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Python_3._The_standard_type_hierarchy.png/141px-Python_3._The_standard_type_hierarchy.png'}"
52,18985040,Data,Data,Data mining Data modeling Data point Data preservation Data protection Data publication Data remanence Data science Data set Data structure Data visualization,,Units of information,"{'mimetype': 'image/svg+xml', 'size': 19142, 'width': 192, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Data_types_-_en.svg/192px-Data_types_-_en.svg.png'}"
53,2234333,Data_(computer_science),Data (computer science),"computer science, data (treated as singular, plural, or as a mass noun) is any sequence of one or more symbols; datum is a single symbol of data. Data requires",,"Quantities, characters, or symbols on which operations are performed by a computer","{'mimetype': 'image/svg+xml', 'size': 19142, 'width': 192, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Data_types_-_en.svg/192px-Data_types_-_en.svg.png'}"
54,54415758,Master_in_Data_Science,Master in Data Science,"A Master of Science in Data Science is an interdisciplinary degree program designed to provide studies in scientific methods, processes, and systems to",,,
55,2720954,Data_analysis,Data analysis,"names, and is used in different business, science, and social science domains. In today's business world, data analysis plays a role in making decisions",,"Machine Learning Data analysis process inspection. cleansing, generic data-sets and modelling","{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Rayleigh-Taylor_instability.jpg/200px-Rayleigh-Taylor_instability.jpg'}"
56,71653600,Fog_Reveal,Fog Reveal,tracking tool that aggregates location data from mobile apps. It is a product of FOG Data Science. FOG Data Science is a limited liability company based,,Product created by Fog Data Science,
57,27051151,Big_data,Big data,Big data ethics Big Data Maturity Model Big memory Data curation Data defined storage Data engineering Data lineage Data philanthropy Data science Datafication,,"Information assets characterized by high volume, velocity, and variety","{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 150, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hilbert_InfoGrowth.png/200px-Hilbert_InfoGrowth.png'}"
58,5323,Computer_science,Computer science,software). Computer science is generally considered an area of academic research and distinct from computer programming. Algorithms and data structures are,,Study of the foundations and applications of computation,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 143, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Activemarker2.PNG/200px-Activemarker2.PNG'}"
59,11983318,Branches_of_science,Branches of science,"Project ""space science"". TheFreeDictionary.com. Retrieved 2020-08-23. National Space Science Data Center (NSSDC) – NASA Science ""Space science | Define Space",,Overview of the disciplines of study,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 113, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/CMB_Timeline_No_Labels_or_WMAP.jpg/200px-CMB_Timeline_No_Labels_or_WMAP.jpg'}"
60,70435489,Drift_(data_science),Drift (data science),"In data science and related fields, drift is an evolution of data that invalidates the data model. Common areas where identification of data drift is",,Gradual changes in data,
61,8519,Data_structure,Data structure,"computer science, a data structure is a data organization, management, and storage format that is usually chosen for efficient access to data. More precisely",,Particular way of storing and organizing data in a computer,"{'mimetype': 'image/svg+xml', 'size': 5789, 'width': 200, 'height': 146, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hash_table_3_1_1_0_1_0_0_SP.svg/200px-Hash_table_3_1_1_0_1_0_0_SP.svg.png'}"
62,7697770,Open_data,Open data,"philosophy behind open data has been long established (for example in the Mertonian tradition of science), but the term ""open data"" itself is recent, gaining",,"Data that anyone can access, use or share","{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 124, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Lod.png/200px-Lod.png'}"
63,759312,Data_management,Data management,Topics in data management include: Data governance Data asset Data governance Data trustee Data custodian or guardian Data steward Data subject Data ethics,,Disciplines related to managing data as a resource,"{'mimetype': 'image/svg+xml', 'size': 11050, 'width': 200, 'height': 77, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Data_lifecycle.svg/200px-Data_lifecycle.svg.png'}"
64,8924644,Data_hub,Data hub,"A data hub is a center of data exchange that is supported by data science, data engineering, and data warehouse technologies to interact with endpoints",,,
65,3461736,Data_and_information_visualization,Data and information visualization,"users. It is one of the steps in data analysis or data science. According to Vitaly Friedman (2008) the ""main goal of data visualization is to communicate",,Visual representation of data,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 97, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/1/17/Detail_of_Tree_of_Knowledge_after_Diderot_%26_d%27Alembert%27s_Encyclop%C3%A9die%2C_by_Chr%C3%A9tien_Fr%C3%A9d%C3%A9ric_Guillaume_Roth.jpg/200px-Detail_of_Tree_of_Knowledge_after_Diderot_%26_d%27Alembert%27s_Encyclop%C3%A9die%2C_by_Chr%C3%A9tien_Fr%C3%A9d%C3%A9ric_Guillaume_Roth.jpg'}"
66,56499662,Data_science_competition_platform,Data science competition platform,"A data science competition platform is used by businesses to host data science challenges that are hard to solve for one group. Historically, crowdsourcing",,,
67,12487489,Data_wrangling,Data wrangling,"Data wrangling, sometimes referred to as data munging, is the process of transforming and mapping data from one ""raw"" data form into another format with",,Restructuring data into a desired format,
68,2155752,Citizen_science,Citizen science,"research projects. Citizen science can be used as a methodology where public volunteers help in collecting and classifying data, improving the scientific",,"Scientific research conducted, in whole or in part, by amateur or nonprofessional scientists","{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 125, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Spokes_America_Examining_citizen_science_with_EyeWire.png/200px-Spokes_America_Examining_citizen_science_with_EyeWire.png'}"
69,7671,Committee_on_Data_of_the_International_Science_Council,Committee on Data of the International Science Council,"The Committee on Data of the International Science Council (CODATA) was established in 1966 as the Committee on Data for Science and Technology, originally",,Internal open science organization,
70,49954680,Data_Science_Institute,Data Science Institute,The Data Science Institute is a research institute at the Imperial College London founded in May 2014. The institute is one of five Global Institutes at,,,"{'mimetype': 'image/png', 'size': None, 'width': 150, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Data_Science_Institute%2C_William_Penny_Laboratory%2C_Main_Walkway.png/150px-Data_Science_Institute%2C_William_Penny_Laboratory%2C_Main_Walkway.png'}"
71,455220,Data_engineering,Data engineering,"and data science; which often involves machine learning. Making the data usable usually involves substantial compute and storage, as well as data processing",,Software engineering approach to designing and developing information systems,
72,416589,Exploratory_data_analysis,Exploratory data analysis,"exploratory data analysis (EDA) is an approach of analyzing data sets to summarize their main characteristics, often using statistical graphics and other data visualization",,Approach of analyzing data sets in statistics,
73,6465089,Process_mining,Process mining,Process mining is a family of techniques relating the fields of data science and process management to support the analysis of operational processes based,,Data mining technique,
74,149354,Information_science,Information science,"Historically, information science (informatics) is associated with computer science, data science, psychology, technology, library science, healthcare, and intelligence",,Academic field concerned with collection & analysis of information,"{'mimetype': 'image/svg+xml', 'size': 19224, 'width': 200, 'height': 138, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Bibliometrics_definition.svg/200px-Bibliometrics_definition.svg.png'}"
75,5213,Computing,Computing,"computing disciplines include computer engineering, computer science, cybersecurity, data science, information systems, information technology and software",,Branch of knowledge,"{'mimetype': 'image/gif', 'size': None, 'width': 200, 'height': 188, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/4/42/GalvesLocherbach_-_Low_resolution.gif/200px-GalvesLocherbach_-_Low_resolution.gif'}"
76,55207134,IBM_Watson_Studio,IBM Watson Studio,"Watson Studio, formerly Data Science Experience or DSX, is IBM’s software platform for data science. The platform consists of a workspace that includes",,Software platform for data science,
77,40739436,Common_Crawl,Common Crawl,"Norvig Web Data Science Award"". Common Crawl. Retrieved July 31, 2014. ""Norvig Web Data Science Award 2014"". Dutch Techcentre for Life Sciences. Archived",,Nonprofit web crawling organization,
78,58887209,Mohawk_Data_Sciences_Corporation,Mohawk Data Sciences Corporation,"Mohawk Data Sciences Corporation (MDS) was a 1964-launched company, started by former Univac engineers; by 1985 they were struggling to sell-off part",,,
79,55052729,New_York_University_Center_for_Data_Science,New York University Center for Data Science,The NYU Center for Data Science (CDS) is a degree-granting graduate institute and research center at New York University. It was established in 2013 by,,Secondary education program and research center,
80,54767773,Data_Science_Africa,Data Science Africa,Data Science Africa (DSA) is a non-profit knowledge sharing professional group that aims at bringing together leading researchers and practitioners working,,,
81,18933632,Metadata,Metadata,"Metadata is ""data that provides information about other data"", but not the content of the data, such as the text of a message or the image itself. There",,Data about data,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 169, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Schlagwortkatalog.jpg/200px-Schlagwortkatalog.jpg'}"
82,1913728,Geographic_information_science,Geographic information science,"geography. Other related terms are geographic data science (after data science) and geographic information science and technology (GISci&T), with job titles",,,
83,524425,Computer_science_and_engineering,Computer science and engineering,"programs also cover emerging computing fields like image processing, data science, robotics, bio-inspired computing, computational biology, autonomic computing",,University academic program,
84,57143357,Glossary_of_computer_science,Glossary of computer science,"software, data science, and computer programming. Contents:  A B C D E F G H I J K L M N O P Q R S T U V W X Y Z See also References abstract data type (ADT)",,List of definitions of terms and concepts commonly used in computer science,
85,46471245,Data_scraping,Data scraping,"Data scraping is a technique where a computer program extracts data from human-readable output coming from another program. Normally, data transfer between",,Data extraction technique,"{'mimetype': 'image/svg+xml', 'size': 15892, 'width': 200, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/CIAJMK1209-en.svg/200px-CIAJMK1209-en.svg.png'}"
86,155319,Data_acquisition,Data acquisition,"Visual C++, Visual Basic, LabVIEW, and MATLAB. Black box Data logger Data storage device Data science Sensor Signal processing Transducer COMDEX Fall November",,,"{'mimetype': 'application/pdf', 'size': None, 'width': 200, 'height': 115, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/9/97/DigitalDAQv2.pdf/page1-200px-DigitalDAQv2.pdf.jpg'}"
87,351581,Health_informatics,Health informatics,"field of science and engineering that aims at developing methods and technologies for the acquisition, processing, and study of patient data, which can",,Applications of information processing concepts and machinery in medicine,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 117, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/b/b7/DiffusionMRI_glyphs.png/200px-DiffusionMRI_glyphs.png'}"
88,22731530,Keshav_Memorial_Institute_of_Technology,Keshav Memorial Institute of Technology,"offers B.Tech degrees in computer science and engineering, artificial intelligence and machine learning, data science, and information technology. ""Home""",,"Technological institution in Telangana, India",
89,25270778,Synthetic_data,Synthetic data,"real data. Efforts have been made to construct general-purpose synthetic data generators to enable data science experiments. In general, synthetic data has",,Term for generated data,
90,95154,Associative_array,Associative array,"In computer science, an associative array, map, symbol table, or dictionary is an abstract data type that stores a collection of (key, value) pairs, such",,Data type that associates keys with values,
91,49858916,Coding_bootcamp,Coding bootcamp,full stack development and more on producing data scientists and data engineers are known as data science bootcamps. Coding bootcamps may be selective,,Software development learning programs,
92,43003632,Anaconda_(Python_distribution),Anaconda (Python distribution),"programming languages for scientific computing (data science, machine learning applications, large-scale data processing, predictive analytics, etc.), that",,Distribution of the Python and R languages for scientific computing,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 100, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/c/cd/Anaconda_Logo.png/200px-Anaconda_Logo.png'}"
93,31663650,Kaggle,Kaggle,"web-based data-science environment, work with other data scientists and machine learning engineers, and enter competitions to solve data science challenges",,Internet platform for data science competitions,"{'mimetype': 'image/png', 'size': None, 'width': 200, 'height': 77, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kaggle_logo.png/200px-Kaggle_logo.png'}"
94,3036868,Archival_science,Archival science,"Archival science, or archival studies, is the study and theory of building and curating archives, which are collections of documents, recordings and data storage",,"Science of storage, registration and preservation of historical data","{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 133, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Documents_ordered_by_readers_at_The_National_Archives.jpg/200px-Documents_ordered_by_readers_at_The_National_Archives.jpg'}"
95,25750436,Mathematical_sciences,Mathematical sciences,"mechanics, mathematical chemistry, actuarial science, computer and computational science, data science, quantitative biology, operations research, control",,Group of areas of study that are primarily mathematical,
96,44133735,Alteryx,Alteryx,"company's products are used for data science and analytics. The software is designed to make advanced analytics accessible to any data worker. SRC LLC, the predecessor",,U.S. information technology company,
97,1619457,Data_Matrix,Data Matrix,encoded can be text or numeric data. Usual data size is from a few bytes up to 1556 bytes. The length of the encoded data depends on the number of cells,,Two-dimensional matrix barcode,"{'mimetype': 'image/svg+xml', 'size': 1418, 'width': 200, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Datamatrix.svg/200px-Datamatrix.svg.png'}"
98,61624594,The_Center_of_Applied_Data_Science,The Center of Applied Data Science,Applied Data Science (CADS) is a private company established in Malaysia in October 2015. CADS's professed purpose is to nurture a new generation of data scientists,,,
99,68112151,Data_build_tool,Data build tool,"Practical DataOps: Delivering Agile Data Science at Scale. Apress. p. 223. ISBN 978-1-4842-5104-1. ""Stitch is joining Talend"". Stitch Data. 2018-11-07",,Data analytics transformation tool,"{'mimetype': 'image/svg+xml', 'size': 4413, 'width': 200, 'height': 73, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/4/48/Data_build_tool_%28dbt%29_logo.svg/200px-Data_build_tool_%28dbt%29_logo.svg.png'}"
100,361897,Astrophysics,Astrophysics,Astrophysics is a science that employs the methods and principles of physics and chemistry in the study of astronomical objects and phenomena. As one of,,Branch of astronomy,
101,18915335,Astronomy_&_Astrophysics,Astronomy & Astrophysics,"Astronomy & Astrophysics is a monthly peer-reviewed scientific journal covering theoretical, observational, and instrumental astronomy and astrophysics. The",,Academic journal,"{'mimetype': 'image/jpeg', 'size': None, 'width': 147, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/d/d2/Aand_A_cover.jpg/147px-Aand_A_cover.jpg'}"
102,7842592,Kugelblitz_(astrophysics),Kugelblitz (astrophysics),"Unsourced material may be challenged and removed. Find sources: ""Kugelblitz"" astrophysics – news · newspapers · books · scholar · JSTOR (July 2022) (Learn how",,Black hole created from the concentration of energy,
103,1661177,Accretion_(astrophysics),Accretion (astrophysics),"In astrophysics, accretion is the accumulation of particles into a massive object by gravitationally attracting more matter, typically gaseous matter,",,Accumulation of particles into a massive object by gravitationally attracting more matter,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/HL_Tau_protoplanetary_disk.jpg/200px-HL_Tau_protoplanetary_disk.jpg'}"
104,59734475,Journal_of_Astrophysics_and_Astronomy,Journal of Astrophysics and Astronomy,The Journal of Astrophysics and Astronomy is a peer-reviewed scientific journal of astrophysics and astronomy established in 1980. It is co-published bimonthly,,Academic journal,"{'mimetype': 'image/jpeg', 'size': None, 'width': 150, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/thumb/1/15/Journal_of_Astrophysics_and_Astronomy_cover.jpg/150px-Journal_of_Astrophysics_and_Astronomy_cover.jpg'}"
105,14092434,Bibcode,Bibcode,"facto standard and is now used more widely, for example, by the NASA Astrophysics Data System, which coined and prefers the term ""bibcode"". The code has",,Code used to identify references in certain astronomical data systems,
106,50650,Astronomy,Astronomy,"calendars. Nowadays, professional astronomy is often said to be the same as astrophysics. Professional astronomy is split into observational and theoretical branches",,Science about objects in outer space,"{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 182, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Laser_Towards_Milky_Ways_Centre.jpg/200px-Laser_Towards_Milky_Ways_Centre.jpg'}"
107,13313106,Astrophysics_and_Space_Science,Astrophysics and Space Science,"Astrophysics and Space Science is a bimonthly peer-reviewed scientific journal covering astronomy, astrophysics, and space science and astrophysical aspects",,Academic journal,"{'mimetype': 'image/jpeg', 'size': 26816, 'width': 152, 'height': 200, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/en/6/69/APSS_journal_cover.JPG'}"
108,1864889,Cosmology,Cosmology,"in time"" due to the finite nature of the speed of light. Physics and astrophysics have played a central role in shaping the understanding of the universe",,"Scientific study of the origin, evolution, and eventual fate of the universe","{'mimetype': 'image/jpeg', 'size': None, 'width': 200, 'height': 174, 'duration': None, 'url': '//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/The_Hubble_eXtreme_Deep_Field.jpg/200px-The_Hubble_eXtreme_Deep_Field.jpg'}"
