topic,keyword,short_text
Information Technology,,"This is an online set of information about astronomical alignments of ancient structures and buildings. Learners will read background information about the alignments to the Sun in such structures as the Great Pyramid, Chichen Itza, and others. Next, the site contains 10 short problem sets that involve a variety of math skills, including determining the scale of a photo, measuring and drawing angles, plotting data on a graph, and creating an equation to match a set of data. Each set of problems is contained on one page and all of the sets utilize real-world problems relating to astronomical alignments of ancient structures. Each problem set is flexible and can be used on its own, together with other sets, or together with related lessons and materials selected by the educator. This was originally included as a folder insert for the 2010 Sun-Earth Day."
Information Technology,,"This collection of lessons represent adapted and remixed instructional content for teaching media literacy and specifically civic online reasoning through distance learning. These lessons take students through the steps necessary to source online content, verify evidence presented, and corroborate claims with other sources.The original lesson plans are the work of Stanford History Education Group, licensed under CC 4.0. Please refer to the full text lesson plans at Stanford History Education Group’s, Civic Online Reasoning Curriculum for specifics regarding background, research findings, and additional curriculum for teaching media literacy in the twenty-first century."
Information Technology,,"This course treats various methods to design and analyze datastructures and algorithms for a wide range of problems. The most important new datastructure treated is the graph, and the general methods introduced are: greedy algorithms, divide and conquer, dynamic programming and network flow algorithms. These general methods are explained by a number of concrete examples, such as simple scheduling algorithms, Dijkstra, Ford-Fulkerson, minimum spanning tree, closest-pair-of-points, knapsack, and Bellman-Ford. Throughout this course there is significant attention to proving the correctness of the discussed algorithms. All material for this course is in English. The recorded lectures, however, are in Dutch."
Information Technology,,"This course is about solving complex problems. Our favorite problems are not just technically complex but also characterized by the presence of many different social actors that hold conflicting interests, objectives, and perceptions and act strategically to get the best out of a problem situation. This course offers guidance for policy analysts who want to assess if and how their analysis could be of help, based on the premise that problem formulation is the cornerstone in addressing complex problems. After this course, students would have obtained a theoretical insight into different models of decision-making processes, their implications in terms of supporting decision making and the potential roles that analysts; they can make a structured problem analysis in a complex situation, and can lay down their findings in an ""issue paper;"" they know how to use a range of different methods and techniques to support attainment of these objectives; can formulate plans for a further analysis and closer examination, including the specification and the choice of possible mathematical models to be used.The completion of the practical part of this course will be an issue paper (written in pairs)."
Information Technology,,"Use a virtual scanning tunneling microscope (STM) to observe electron behavior in an atomic-scale world. Walk through the principles of this technology step-by-step. First learn how the STM works. Then try it yourself! Use a virtual STM to manipulate individual atoms by scanning for, picking up, and moving electrons. Finally, explore the advantages and disadvantages of the two modes of an STM: the constant-height mode and the constant-current mode."
Information Technology,,"The course is a survey of models for analyzing and supporting design and decision-making in multi-actor settings. Participants: will learn to recognize the difference between games and decisions, and will identify their occurrence in public policy. will be able to apply a principled technique for resolving dilemmas through the appropriate selection of policies. will learn to formulate, design and communicate games and decisions. will learn to implement by computer (and otherwise logically analyze) games and decisions."
Information Technology,,"This is a presentation about various features on the Sun created by magnetic activity. Learners will hear and read about sunspots, solar flares, and coronal mass ejections. Additionally, learners will hear about how and why current NASA missions are gathering more information about the Sun. This is a presentation intended for educators to use with a high school audience. Please note that this presentation is a large file and may require significant download time, depending on an individual's Internet connectivity."
Information Technology,,"This is a presentation about various features on the Sun created by magnetic activity. Learners will hear and read about sunspots, solar flares, and coronal mass ejections. Additionally, learners will hear about how and why current NASA missions are gathering more information about the Sun. This is a presentation intended for educators to use with a middle school audience. Please note that this presentation is a large file and may require significant download time, depending on an individual's Internet connectivity."
Information Technology,,"Transistors are the building blocks of modern electronic devices. Your cell phones, iPods, and computers all depend on them to operate. Thanks to today's microfabrication technology, transistors can be made very tiny and be massively produced. You are probably using billions of them while working with this activity now--as of 2006, a dual-core Intel microprocessor contains 1.7 billion transistors. The field effect transistor is the most common type of transistor. So we will focus on it in this activity."
Information Technology,,"This video provides a short introduction to the meaning of bibliographic citations for students. It covers how to distinguish references to books, articles in books, and articles in journals. Although produced by at Cornell University, the information is generally applicable to any college or university research library."
Information Technology,,"This video provides a short introduction to scholarly articles and peer reviewed journals for students. It covers the distinguishing features of academic journals and resources for searching this literature. Although some of the information is specific to the Cornell University libraries, the information is generally applicable to any college or university research library."
Information Technology,,"Elementary grade students investigate heat transfer in this activity to design and build a solar oven, then test its effectiveness using a temperature sensor. It blends the hands-on activity with digital graphing tools that allow kids to easily plot and share their data. Included in the package are illustrated procedures and extension activities. Note Requirements: This lesson requires a ""VernierGo"" temperature sensing device, available for ~ $40. This item is part of the Concord Consortium, a nonprofit research and development organization dedicated to transforming education through technology. The Consortium develops digital learning innovations for science, mathematics, and engineering."
Information Technology,,This course deals with the design of drinking water treatment plants. We discuss theory and design exercises.
Information Technology,,Delve into a microscopic world working with models that show how electron waves can tunnel through certain types of barriers. Learn about the novel devices and apparatuses that have been invented using this concept. Discover how tunneling makes it possible for computers to run faster and for scientists to look more deeply into the microscopic world.
Information Technology,,A colourful and fun superhero-themed slideshow presentation designed to teach students how to create effective slideshow presentations. A Google slides presentation that you can adopt / adapt for your classroom. Best suited for grades 5-8 but may work in higher grades too.Outlines 7 tips for effective slideshow presentations:1. Fantastic Fonts2. Stupendous Size3. Terrific Text4. Cool Colours5. Glorious Graphics & Videos6. Sensational Slides7. *BONUS* Incredible Interactions
Information Technology,,"Semiconductors are the materials that make modern electronics work. Learn about the basic properties of intrinsic and extrinsic or 'doped' semiconductors with several visualizations. Turn a silicon crystal into an insulator or a conductor, create a depletion region between semiconductors, and explore probability waves of an electron in this interactive activity."
Information Technology,,"Bridges come in a wide variety of sizes, shapes, and lengths and are found all over the world. It is important that bridges are strong so they are safe to cross. Design and build a your own model bridge. Test your bridge for strength using a force sensor that measures how hard you pull on your bridge. By observing a graph of the force, determine the amount of force needed to make your bridge collapse."
Information Technology,,"A bungee jump involves jumping from a tall structure while connected to a large elastic cord. Design a bungee jump that is ""safe"" for a hard-boiled egg. Create a safety egg harness and connect it to a rubber band, which is your the ""bungee cord."" Finally, attach your bungee cord to a force sensor to measures the forces that push or pull your egg."
Information Technology,,"Earthquakes happen when forces in the Earth cause violent shaking of the ground. Earthquakes can be very destructive to buildings and other man-made structures. Design and build various types of buildings, then test your buildings for earthquake resistance using a shake table and a force sensor that measures how hard a force pushes or pulls your building."
Information Technology,,"Schuylkill County Librarian resources is a collaboration space for librarians to share their favorite resources such as curriculum tools, websites, and interactive activities."
Information Technology,,"Schuylkill County Librarian resources is a collaboration space for librarians to share their favorite resources such as curriculum tools, websites, and interactive activities."
Information Technology,,"Schuylkill County Librarian resources is a collaboration space for librarians to share their favorite resources such as curriculum tools, websites, and interactive activities."
Information Technology,,"Windmills have been used for hundreds of years to collect energy from the wind in order to pump water, grind grain, and more recently generate electricity. There are many possible designs for the blades of a wind generator and engineers are always trying new ones. Design and test your own wind generator, then try to improve it by running a small electric motor connected to a voltage sensor."
Information Technology,,"Study the motion of a toy car on a ramp and use motion sensors to digitally graph the position data and then analyze it. Make predictions about what the graphs will look like, and consider what the corresponding velocity graphs would look like."
Information Technology,,Determine the dew point temperature for your classroom through a hands-on experiment. Use humidity and temperature probes to investigate the temperature at which it would rain in your classroom! Learn about water density and the conditions necessary to produce fog or rain.
Information Technology,,What do plants eat? This unit explores plants and how they make food.
Information Technology,,"This 90-minute activity features six interactive molecular models to explore the relationships among voltage, current, and resistance. Students start at the atomic level to explore how voltage and resistance affect the flow of electrons. Next, they use a model to investigate how temperature can affect conductivity and resistivity. Finally, they explore how electricity can be converted to other forms of energy. The activity was developed for introductory physics courses, but the first half could be appropriate for physical science and Physics First. The formula for Ohm's Law is introduced, but calculations are not required. This item is part of the Concord Consortium, a nonprofit research and development organization dedicated to transforming education through technology. The Concord Consortium develops deeply digital learning innovations for science, mathematics, and engineering."
Information Technology,,"This concept-building activity contains a set of sequenced simulations for investigating how atoms can be excited to give off radiation (photons). Students explore 3-dimensional models to learn about the nature of photons as ""wave packets"" of light, how photons are emitted, and the connection between an atom's electron configuration and how it absorbs light. Registered users are able to use free data capture tools to take snapshots, drag thumbnails, and submit responses. This item is part of the Concord Consortium, a nonprofit research and development organization dedicated to transforming education through technology."
Information Technology,,"This unit forms gives participants an understanding of the concepts behind database development, a sense of how database work can be applied to information projects and how to start thinking about the database planning process. It is primarily about developing an awareness of databases which can form a basis for future training in more practical aspects of database development work."
Information Technology,,"This textbook introduces students to the essential tools of quality improvement. The emphasis is placed on health care informatics, as reflected in the several examples contained in the text. The book is written to be accessible to any student in the areas of health information management, health care informatics, and health care industrial engineering. Although having some statistical background would be a plus, such knowledge is not a prerequisite to understanding and applying the tools presented here.  Several How-To sections are included to demonstrate the hands-on implementation of the discussed concepts using software such as Minitab, Visio, and Excel."
Information Technology,,"This unit introduces participants to the idea of open source software for use on servers, desktops and web sites."
Information Technology,,"MapReduce is a framework based on the Map and Reduce functions used in functional languages like Lisp. QT Concurrent provides a MapReduce implementation for parallel programming on multi-core processors. This module provides an introduction to parallel programming with MapReduce, using QT Concurrent."
Information Technology,,"THIS IS AN OVERVIEW OF NATIONAL CERTIFICATE (VOCATIONAL) LEVEL 4 COMPUTER SKILLS FOR TVET COLLEGES. THE RESOURCE PROVIDES STUDENTS WITH BASIC AND ADVANCED COMPUTER SKILLS. THE CONTENT RANGES, BUT NOT LIMITED TO ADVANCED EXCEL, MAIL MERGE, CHARTS, EXERCISES AND SOLUTIONS."
Information Technology,,"In this lesson, learners will use creativity as they think about future business decisions and activities, including creating a budget and calculating the price points of different jewelry pieces. Targeted skills for this lesson include career, life, entrepreneurship, and employability. The learners will describe five modern trends of fashion jewelry in the region, country and worldwide, calculate the price point, and design an original piece of jewelry. This lesson was designed for one, sixty-minute, class period but can be adjusted.  The learners in this lesson are presumed to be young women or men, ages 15-18, in a secondary classroom. The lesson can be a part of math, art, or business courses. Significantly, the author licensed this lesson to be reused and modified to meet the needs of any users."
Information Technology,,"Explore the concept of evaporative cooling through a hands-on experiment. Use a wet cloth and fan to model an air-conditioner and use temperature and relative humidity sensors to collect data. Then digitally plot the data using graphs in the activity. In an optional extension, make your own modifications to improve the cooler's efficiency."
Information Technology,,"This educational resource provides essential information for implementation of Industry 4.0 in SME’s environment in the form of a collection of “recipes” suitable for SMEs that can be directly used by the owners and managers of SMEs. It includes practical approaches that support SMEs in the implementation of Industry 4.0 taking advantage on the decreasing costs of technologies like 3D printing, robotics, Augmented Reality, etc."
Information Technology,,"Using three images from the Wide-field Infrared Survey Explorer (WISE) mission, students measure and analyze infrared light from objects to identify Brown Dwarfs and Ultra-Luminous Infrared Galaxies (ULIRGs). The lesson includes a teacher’s guide, student worksheet and PowerPoint presentation (which contains the three images to be analyzed)."
Information Technology,,"In this activity, students interact with 12 models to observe emergent phenomena as molecules assemble themselves. Investigate the factors that are important to self-assembly, including shape and polarity. Try to assemble a monolayer by ""pushing"" the molecules to the substrate (it's not easy!). Rotate complex molecules to view their structure. Finally, create your own nanostructures by selecting molecules, adding charges to them, and observing the results of self-assembly."
Information Technology,,"What happens when an excited atom emits a photon? What can we deduce about that atom based on the photons it can emit? A series of interactive models allows you to examine how the energy levels the electrons of an atom occupy affect the types of photons that can be emitted. Use a digital spectrometer to record which wavelengths certain atoms will emit, and then use this knowledge to compare and identify types of atoms. Students will be abe to:"
Information Technology,,A list of scenarios involving numbers and how to deal with each when proofreading.
Information Technology,,"Many factors influence the success and survival rate of a population of living things. Explore several factors that can determine the survival of a population of sheep in this NetLogo model. Start with a model of unlimited grass available to the sheep and watch what happens to the sheep population! Next try to keep the population under control by removing sheep periodically. Change the birthrate, grass regrowth rate, and the amount of energy rabbits get from the grass to keep a stable population."
Information Technology,,Slides for lecture on subject/verb agreement from Springfield Technical Community College's Communications and Editing 1 (OIT 110) course.
Information Technology,,How does energy flow in and out of our atmosphere? Explore how solar and infrared radiation enters and exits the atmosphere with an interactive model. Control the amounts of carbon dioxide and clouds present in the model and learn how these factors can influence global temperature. Record results using snapshots of the model in the virtual lab notebook where you can annotate your observations.
Information Technology,,"Fest 2011 in Half Moon Bay. This conference was help in December 2011 and hosted by the Institute of Knowledge Management in Education. There were participants form K-12, Higher Ed, educational non-profits, foundations and start-up companies. The keynote speaker was Dr. Sugata Mitra."
Information Technology,,"A listing of commonly confused words in the English language. Created by Professor Eileen Cusick for OIT-110, Communications and Editing, at Springfield Technical Community College."
Information Technology,,Monitor the temperature of a melting ice cube and use temperature probes to electronically plot the data on graphs. Investigate what temperature the ice is as it melts in addition to monitoring the temperature of liquid the ice is submerged in.
Information Technology,,"Cetățenia digitală este un termen umbrelă utilizat pentru a descrie o serie de subiecte legate de accesul digital, utilizarea responsabilă a tehnologiei, alfabetizarea digitală financiară, amprentele digitale și chiar bunăstarea fizică și psihologică. Este clar că cetățenia digitală se poate manifesta în mai multe feluri, fiind considerată și abordată variat/în alte moduri de către diferiți oameni. Ceea ce este însă important este recunoașterea faptului că, pentru a progresa în noua societate/economie digitală, avem nevoie de cunoștințe și competențe noi, bazate pe era digitală. Sperăm ca modulul propus vine în întâminarea tuturor formatorilor cu o abordare modernă, reușind să facă dintr-un proces de specializare tehnică o experiență dinamică, eficientă și relevantă, pentru formarea unor generații de cetățeni responsabili și activi."
Information Technology,,"Author emphasis on differences, importance, futuristic aspects and pros & cons of online and conventional teaching"
Information Technology,,"In this activity, students learn about the changing configuration of the continents over geological time resulting from plate tectonics. Using a map pair, students measure the difference in distance between continents 94 million years ago and today, and calculate the speed at which the plates have moved. The resource includes the images and a student worksheet. This is an activity from Space Update, a collection of resources and activities provided to teach about Earth and space. Summary background information, data and images supporting the activity are available on the Earth Update data site."
Information Technology,,"List of topics and related resources for OIT 110, Communications and Editing, at Springfield Technical Community College. Taught by Professor Eileen Cusick."
Information Technology,,Welcome to the Android developer guides. The documents listed in the left navigation teach you how to build Android apps using APIs in the Android framework and other libraries.
Information Technology,,"Hodges’ Health Career (Care Domains) Model provides a conceptual framework upon which users can map problems, issues and solutions across four knowledge domains: Interpersonal; Sociological; Scientific; & Political (Autonomy). The public may also be taught to use the model, enabling engagement, understanding and concordance in planning and outcome evaluation.Brian Hodges' original notes, a resources page and links (800+) are included. Additional material on health informatics and the potential role of visualization in care assessment and evaluation can also be found.In April 2006 a blog related to Hodges' model was created: 'Welcome to the QUAD':http://hodges-model.blogspot.com/The blog includes a bibliography and a growing archive of posts that are also tagged. There are plans to create a new website using the content management system Drupal. There is an eclectic mix posts that includes examples of using the domains of the model.You can contact Peter Jones at h2cmng @ yahoo.co.uk and through twitter:http://twitter.com/h2cm"
Information Technology,,"Technologies have profoundly transform the financial markets and in turn present new challenge to the financial education. For instance, as financial markets become more complex and generate more information, it also becomes more and more challenging for market participants to digest and manage the information overload. Upon completion of the course the students will develop a toolkit and will be conversant in current issues related to financial risk management including the dynamic market changes, new trends in financial analysis and a historical perspective on financial risk management."
Information Technology,,"The lecture presents information about how the Internet works so students studying cyber security can better understand how cybercriminals commit their crimes. The lecture provides elemental concepts so students of all disciplines, from computer engineering to criminal justice and law can obtain a basic foundation."
Information Technology,,This social media literacy unit introduces students to foundational skills in analyzing images and social media posts. It also reenforces critical thinking questions that can be applied to various forms of media. This unit was taught to 9th grade students but is easily adaptible to a range of secondary classrooms. It was also taught in conjunction with another unit focused on social media platforms and content.
Information Technology,,"This lecture presents information about cybercrime, which has become the most ubiquitous crime world-wide and affects individuals, companies and government. The lecture indicates that 95% of all cybercrime is preventable and describes a myriad of cyber security techniques that are available to prevent hacking. Legislation to combat cybercrime is presented as well as the places where cybercrime should be reported."
Information Technology,,"""Quizizz is a free tool. It works on any device: web browser, iOS, Android and Chrome apps. You can access hundreds of ready-made learning quizzes or create your own. Join as a teacher, pick a quiz, and use the code for a virtual room to give to your students.""The way you make a quiz, you host it and then you see them playing it on their mobile phones/tablets or laptops with the Scoreboard Seen Live on the Screen/Projector in the Class makes it a real happy classroom. The extra-edge comes with the Music that is being played by the App or the Website during the quiz.The additional features about creating a quiz are more beneficial and good with the Quizizz. You can download an excel sheet from Quizizz and enter the questions as guided in this format. While using the desktop version, you can upload this .csv and the quiz is generated. Another excellent feature is to TELEPORT the questions from Pre-made quizzes. Click on teleport after cresting name of the quiz. On the right side of the screen you see that there are many quizzes opened and you can add a question to your quiz, just by clicking ADD."
Information Technology,,"Explore a NetLogo model of populations of rabbits, grass, and weeds. First, adjust the model to start with a different rabbit population size. Then adjust model variables, such as how fast the plants or weeds grow, to get more grass than weeds. Change the amount of energy the grass or weeds provide to the rabbits and the food preference. Use line graphs to monitor the effects of changes you make to the model, and determine which settings affect the proportion of grass to weeds when rabbits eat both."
Information Technology,,This lesson unit is intended to help you assess how well students are able to: solve simple problems involving ratio and direct proportion; choose an appropriate sampling method; and collect discrete data and record them using a frequency table.
Information Technology,,"This a a cross curricular unit encompassing English, History, and Math Common Core Standards to teach the Child Labor practices of 1800s U.S. with the  tragedy of Triangle Shirtwaist Factory Fire of 1911 which lead to child labor reform throughout the world and  into the modern era."
Information Technology,,"Financial institutions are a pillar of civilized society, supporting people in their productive ventures and managing the economic risks they take on. The workings of these institutions are important to comprehend if we are to predict their actions today and their evolution in the coming information age. The course strives to offer understanding of the theory of finance and its relation to the history, strengths and imperfections of such institutions as banking, insurance, securities, futures, and other derivatives markets, and the future of these institutions over the next century."
Information Technology,,"This resource is a Hands-On course to teach Apps Development to students who may not have any programming knowledge. This course has no pre-requisites. It’s time to add the 4th R – Reading, wRiting, aRithmetic and algoRithmic thinking. In a world where the majority of new jobs require science, technology and math skills, it is time our Liberal Arts majors get IT (Information Technology)! While employers recognize and value the importance of liberal education and the liberal arts, they also want liberal arts graduates who are not digitally challenged. Many employers report a “skills gap” as they have trouble finding recent graduates qualified with ample digital skills to fill various positions. Meanwhile, a national educational movement in computer coding instruction is growing at lightning speeds in schools across the US and many consider coding more like a basic life skill (which might someday lead to a great job) rather than an extracurricular activity. App Inventor (AI) serves to narrow this skills gap and increase the versatility of students to become active creators of technology and “digitally” ready for the workplace rather than just being passive consumers of technology. Sales of hand-held devices (smartphones, tablets and phablets) are exploding. These on-line, social, and increasingly mobile computing devices are ubiquitous and offer visual, tactile and personal experiences as never before. Mobile devices in our education landscape are digital and portable - with multimedia capabilities to access the Internet, and are drastically changing the ways we teach and learn. Developing applications for such devices enables digital natives to experience mobile technology as active creators rather than just passive consumers of technology.Learning GoalsLearn Apps DevelopmentLearn Digital Skills (essential for a Liberal Arts major)"
Information Technology,,"This course will present a comparative overview of world history from the 17th century to the present era. The student will examine the origins of major economic, political, social, cultural, and technological trends of the past 400 years and explore the impact of these trends on world societies. Upon successful completion of this course, students will be able to: Think critically about world history in the early modern and modern eras; Assess how global trade networks shaped the economic development of Asia, Europe, and the Americas in the 17th and 18th centuries; Identify the origins of the Reformation and Counter-Reformation in Europe and assess the social and political consequences of these movements for the peoples of Europe; Identify the origins of the Enlightenment in Europe and assess how Enlightenment ideas led to political and social revolutions in Europe and the Americas; Identify the origins of the Scientific and Industrial Revolutions in Europe and assess how these intellectual and economic movements altered social, political, and economic life across the globe in the 18th and 19th centuries; Compare and contrast how European imperialism affected the states and peoples of Asia, Africa, and the Americas in the 19th century; Identify the origins of World War I and analyze how the war's outcome altered economic and political balances of power throughout the world; Identify the origins of totalitarian political movements across the globe in the 1920s and 1930s and assess how these movements led to World War II; Analyze how World War II reshaped power balances throughout the world and led to the emergence of the United States and the Soviet Union as global superpowers; Assess how decolonization movements in the 1950s and 1960s altered political, economic, and social relationships between the United States, the nations of Europe, and developing countries throughout the world; Assess how the end of the Cold War led to political and economic realignments throughout the world and encouraged the growth of new global markets and systems of trade and information exchange; Analyze and interpret primary source documents from the 17th century through the present, using historical research methods.  (History 103)"
Information Technology,,"This ready-to-adopt Introduction to Business course develops students’ understanding of business fundamentals with learning design structured around timely, real-world case studies and examples. Key topics include the role of business, the global economic and legal environment, ethics, marketing, accounting and finance, and managing processes and operations. Enriched OER content (text, video, simulations, etc.) orients students to the shifting business landscape and prepares them for success in business program curriculum and the workplace.This course was written by Linda Williams of Tidewater Community College and Lumen Learning and is supplemented by content from OpenStax Principles of Economics, Boundless Business, and videos from multiple sources.-----------------------------Review------------------------------------------------------------------Our CriteriaAccuracy and CurrencyHow accurate is the material, based on current standards in the field?If the material is inaccurate, does it acknowledge conflicts in perspectives and changes over time?If the material is outdated, does it serve other purposes (to provide historical perspective, to provoke discussion, or to serve as an example)?Within this review of Lumen's Open Educational Resource (OER) Introduction to Business by Linda Williams, I chose to pick one part of the course content to review - Corporate  Social Responsibility (CSR). The material is based on current standards within the business ethics foundation. This portion of CSR goes over current terminology such as ""green-washing"" and connects to current controversies within CSR, which is important to students going forward in business. Thus far, I see that this information serves discussion purposes, as well as historical relevance. The chapter starts with President Calvin Coolidge's vantage to of business not being a part of business, outside of people being a foundation to business.BiasHow does the material acknowledge perspectives (of the authors, of other experts in the field, of critical voices, etc.)?How does the material present facts, opinions, and judgments?How does the licensing of the material allow the instructor to remix or revise biased content?The material doesn't acknowledge the author's perspective, which doesn't give a bias. It does present facts within the chapter. In my review, I am unsure if educators can revise the content; but, educators can add portions of the course OER to their classrooms, i.e. CANVAS or Blackboard.Ability to Overcome Barriers to EngagementHow does the material engage students? Does the material reflect student experience and views?How do students access the material? Does it require technology skills? Can it be accessed in multiple ways through multiple means?How does the material/resource respond to accommodative and adaptive technologies?In reviewing the CSR chapter, I was happy to see video supporting ""Increased Pressure from Consumers"" subsection of the chapter. This could be a great reflection of students views.  This material does require technology skills in order for access to this chapter and OER book. In my review, I was able to connect to the OER course and chapter through a desktop computer, but I did not connect via a mobile phone. For accessibility (ADA) purposes, it is possible to use ""talk to text"" or ""speechnotes"" with this OER.Publishing Process & LicensingHow was the material published? What kind of review/editing process was used?How is the material licensed and stored? Can it be remixed and revised as needed? Is it subscription-based and if so, who pays for the subscription?What is the 'permanence' of this material? Is it temporal (likely to be removed or taken down)? What would be the back-up plan if license/access to this material is lost?Depending if the educator uses ""Waymaker"", ""OHM"", or ""Candela"", each student could pay between $10 to $25 per student as a subscription, in comparison to over $100 for a textbook. Lumen offer workshops and training within their OER program.Relevant to Course & InstitutionHow does this material align with course objectives and learning activities?At the beginning of the CSR chapter,  it gives student outcomes such has the definition of CSR, describe the impact of CSR to its stakeholders, and give examples to students of what CSR is within business. This material is align to ""Introduction to Business"" student outcomes, as well as to AACSB International accreditation.Relevant to StudentsHow does the material reflect student interests and learning goals?How does the material give student autonomy in their learning?How does the material encourage interaction, critical thinking, and deeper learning/processing"
