topic,keyword,short_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,The purpose of this task is to provide students with a concrete situation they can model by dividing a whole number by a unit fraction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,The purpose of this task is to provide students with a multi-step problem involving volume and to give them a chance to discuss the difference between exact calculations and their meaning in a context.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"** This book has been donated to the public domain.**From the introduction:Hello there . . . ! Welcome to English Banana.com’s Big Grammar Book. It’s the third fantastic book from English Banana and the aim this time is to practise grammar, grammar and, er, more grammar!It’s jam-packed from cover to cover with a great selection of photocopiable worksheets taken from the popular English Banana.com website. We wanted to provide teachers with a really useful book of no-nonsense grammar worksheets that they can dip into and use in class with students at Entry Level (ESOL Core Curriculum Entry Levels 1 & 2). It is also ideal for students to work with at home since the answers are all printed at the back.The book is divided into four parts and is graded in difficulty, so that it begins with some basic stuff and builds up to more challenging grammar activities. It features a selection of Essential English worksheets which provide practice for crucial basic areas of knowledge for learners at Entry Level, like using numbers, writing the alphabet, spelling days and months correctly, and so on.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"¿Podemos ver el ADN de un plátano a simple vista?En este experimento vamos a comprobar cómo mediante los procedimientos sugeridos podemos llegar a visualizar la cadena de ADN de un plátano. Para ello, sólo tenemos que seguir los pasos que se plantean a continuación.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,To get students to start thinking about food trade. Where does our food come from?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"Students will watch the video Banana, Banana, Meatball to introduce the concept of loops. Afterwards, they will identify loops in song lyrics and perform a deep dive into the importance using loops when programming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"Hiking is an excellent low-impact workout. Studies show it offers multiple physical and mental benefits. From reducing anxiety to preventing osteoporosis, hiking is an outdoor activity delivering benefits beyond scenic and fun.Use the following hiking tips to make your first treks successful:1. Start small and choose the right trail for your fitness level. Best Hiking Trails in Penang :Bukit Jambul Hiking Trail View From Hill Top  P5 Youth Park, Penang 2. Familiarize yourself with the trail.3. Check the weather.4. Tell someone where you will be.5. Pack the 5 essentials.Walking sticksEnough waterTowelEnergy Food : Banana, Protein Bar Have Fun and Enjoy Your Journey!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"This unit on matter cycling and photosynthesis begins with students reflecting on what they ate for breakfast. Students are prompted to consider where their food comes from and consider which breakfast items might be from plants. Then students taste a common breakfast food, maple syrup, and see that according to the label, it is 100% from a tree.Based on the preceding unit, students argue that they know what happens to the sugar in syrup when they consume it. It is absorbed into the circulatory system and transported to cells in their body to be used for fuel. Students explore what else is in food and discover that food from plants, like bananas, peanut butter, beans, avocado, and almonds, not only have sugars but proteins and fats as well. This discovery leads them to wonder how plants are getting these food molecules and where a plant’s food comes from.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"One of the means investigators use to determine uplift rates in mountain building areas is the heat flow measurements. Heat flow is determined by the geotherm in the area which is often assumed to be linear, another way of describing that is conductive. Of course because the mountains are actively uplifting, then the heat flow has an advective component that must be taken into account that causes the geotherm to be non-linear (banana shaped). Students construct a simple one stock model that calculates the conductive heat flow out of an uplifting parcel of rock and graph the temperature vs. depth for vairous uplift rates and parcel sizes.(Note: this resource was added to OER Commons as part of a batch upload of over 2,200 records. If you notice an issue with the quality of the metadata, please let us know by using the 'report' button and we will flag it for consideration.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"A noose is found hanging from a goalpost on a high school campus.A swastika, 20 feet in diameter, is burned into the pavement at a junior high school.A group of white high school students dresses in banana suits for a basketball game and taunts their majority-black rival with racial slurs.A Sikh student has his turban pulled off and hair cut by fellow students.Your school has plans and protocols in place to respond to fires, severe weather, medical emergencies, fights and weapons possession. But what about school incidents like those listed above that involve bigotry and hate? Are plans in place to respond to a bias incident or hate crime? Too often these plans are created in the moment during the actual crisis. Bias incidents are far too complex for on-the-fly planning; an early misstep can heighten tension and damage chances for long-term success.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Bananas,"In this 25-day Grade 2 module, students expand their skill with and understanding of units by bundling ones, tens, and hundreds up to a thousand with straws. Unlike the length of 10 centimeters in Module 2, these bundles are discrete sets. One unit can be grabbed and counted just like a banana?1 hundred, 2 hundred, 3 hundred, etc. A number in Grade 1 generally consisted of two different units, tens and ones. Now, in Grade 2, a number generally consists of three units: hundreds, tens, and ones. The bundled units are organized by separating them largest to smallest, ordered from left to right. Over the course of the module, instruction moves from physical bundles that show the proportionality of the units to non-proportional place value disks and to numerals on the place value chart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Deceit,"In this volume, Erika Allen Wolters and Brent Steel have brought together the experts who can explain the evolution of public lands policies and politics in all their complexities. While their subject is complex, their prose is clear, and while their subject is torn by some of the most viciously self-interested, deceitful arguments in politics today, their prose is calm, factual, and evenhanded. No one should underestimate what a rare and valuable gift this is.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Classroom FurnitureThe Classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Furniture in a BedroomDescription: Descriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Students will learn how French artists used lacquer panels in their furniture. They will then explore Asian lacquer panels and create their own Asian-inspired lacquer panel design. Students will then trade their designs and incorporate their classmates' designs into a new furniture design.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Where do the libros go?  Where do the estudiantes sit?  Where does the maestro or maestra do their work?  Furniture is essential in a classroom to help aid learning.  In this seminar you will be able to identify different pieces of furniture in the classroom.ACTFL StandardsCommunication: Interpersonal Communication and Presentational CommunicationCultures: Relating Cultural Products to PerspectivesLearning TargetI can label items in a classroomHabits of MindGathering data through all sensesCritical Thinking SkillClassifying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Students will work within a budget to find pieces of furniture to decorate their dorm room.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"Students will work within a budget to find pieces of furniture to decorate their dorm room. Die Schüler werden innerhalb eines Budgets arbeiten, um Möbelstücke zu finden, um ihr Wohnheimzimmer zu dekorieren.  Students will practice describing furniture and using terms related to money.  Die Schüler üben die Beschreibung von Möbeln und die Verwendung von Begriffen, die mit Geld zu tun haben.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"Student teams are challenged to design and build architecturally inspired cardboard furniture, guided by the steps of the engineering design process. They cultivate their industrial engineering and design skills to design furnishings that meet functional, aesthetic and financial requirements. Given constraints that include limited building materials and tools, groups research architectural styles and period furnishings. The teams brainstorm ideas, make small-scale quick prototypes, then make detailed plans and create full-scale prototypes of their best solutions. The full-size prototypes are evaluated by peer critique for aesthetic alignment to the targeted architectural style and tested for functionality. After final refinements, teams present their concepts and display their final prototype furnishings in an exhibition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"This Remote Learning Plan was created by Danielle Fulcher in collaboration with Dr. Nick Ziegler as part of the 2020 ESU-NDE Remote Learning Plan Project. Educators worked with coaches to create Remote Learning Plans as a result of the COVID-19 pandemic.The attached Remote Learning Plan is designed for grades 9-12 Spanish Students. Students will design a floorpan of their dream house in Spanish -OR- introduce their own house in Spanish via slideshow. The remote learning plan addresses the following NDE standards: Communication;1.1 Students exchange information through interaction and negotiation of meaning.1.2 Students understand, interpret, and analyze what is heard, read, or viewed on a variety of topics.1.3 Students present ideas and information according to a variety of purposes and audiences.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,Spark visits vanguard furniture maker Garry Knox Bennett at work as he produces the last in a series of fifty chairs for an upcoming exhibition at the Oakland Museum of California. This Educator Guide addresses the history of art furniture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"This chapter will cover the house,  and housing,  furniture, the town and thngs in your neighborhood and giving directions there.    In grammar it will cover il ya, voila and possessive adjectives.  This chapter will review ""aller"" and preposition à la, au, aux and à l'.   It will introduce the future with aller.   Time will be reviewed in months, dates, years and hours.  It will introduce the 24-hour clock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"In this activity, students will be talking about their living situation- where they live, who they live with, if they live at a house, apartment, etc. Students will also practice buying furniture for their home.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"In this activity, students will partner up and practice talking about their house, what rooms and basic furniture they have. Discuss what they want to have and then give suggestions to each other. Students will then practice talking to a landlord about renting an apartment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"Do you have a bed, dresser, mirror, or window in your bedroom?  What other types of things might you have in your bedroom?  Discover how to identify these objects in Spanish so you can label them correctly.ACTFL StandardsCommunication: Interpersonal CommunicationCultures: Relating Cultural Products to PerspectivesLearning TargetI can label items in a room.Habits of MindApplying past knowledge to new situationsCritical Thinking SkillConstruct Meaning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"This lesson presents common household vocabulary.  It includes activities for cooperative learning, student interviews, and vocabulary development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"This activity is intended to provide authentic material to Novice-Mid students. The video of Guillaume from Bordeaux shows a typical French studio and takes students through the different rooms. After viewing the video, students have to answer a few questions to check for understanding. Then they are asked to describe their own living space, mentioning at least 2 comparisons from their lives with the French studio from the video.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Furniture,"Students will observe and describe the properties of soil for texture, size, color and ability to support life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"In this activity, students use facts and make inferences to create narratives about the journey of the slave ship Brookes. Students work in groups to create narratives from one of three different perspectives: Captain, Sailor, or Captive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"In this lesson, students learn that navigational techniques change when people travel to different places land, sea, air and in space. For example, an explorer traveling by land uses different methods of navigation than a sailor or an astronaut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"It is the story of the adventures and misadventures of the Portuguese sailors during the Discoveries; there is a lot of action; can relate to the anti-epic side of Os Lusíadas, by Camões.Students will be asked to analyse five excerpts from the work, based on given topics, and then will draw a story in a poster and present it to the class.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"A crew of sailors captained by Sir Ernest Shackleton is trying to reach the South Poles ice cap when their ship, Endurance, is blocked by the ice and is crushed by moving ice a month later. The crew camps on the ice and then Shack decides they should travel in lifeboats to Elephant Island and from there to the whaling station on South Georgia Island.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"Accuracy of measurement in navigation depends very much on the situation. If a sailor's target is an island 200 km wide, sailing off center by 10 or 20 km is not a major problem. But, if the island were only 1 km wide, it would be missed if off just the smallest bit. Many of the measurements made while navigating involve angles, and a small error in the angle can translate to a much larger error in position when traveling long distances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,Modern oceanography has been built on a legacy of centuries of seagoing dating back to ancient times. Join distinguished Scripps Emeritus Professor Joe Reid as he describes what the earliest sailors knew about the oceans and how technical achievements through the ages have allowed ocean explorers to venture to the far reaches of the globe. (51 minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Sailor,"As the story goes, in 1492 Christopher Columbus, an Italian sailor on hire for the Spanish, landed on the island of Hispanola and the world was never the same.  While it is generally accepted that Columbus did not “discover America” (since there were already people living in the land that would become known as the Americas) it is generally accepted that his contact with the Native People of Hispanola and the later European movement brought technology and civilization to the Americas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
